7.500000,11
7.500000,16
7.500000,11
7.500000,16
7.500000,16
7.500000,15
7.500000,13
7.500000,12
7.500000,16
7.500000,12
15.000000,30
15.000000,29
15.000000,28
15.000000,24
15.000000,22
15.000000,30
15.000000,31
15.000000,20
15.000000,19
15.000000,28
30.000000,60
30.000000,59
30.000000,52
30.000000,55
30.000000,35
30.000000,55
30.000000,47
30.000000,55
30.000000,56
30.000000,59
60.000000,121
60.000000,89
60.000000,129
60.000000,83
60.000000,102
60.000000,81
60.000000,88
60.000000,91
60.000000,121
60.000000,109
120.000000,240
120.000000,183
120.000000,140
120.000000,198
120.000000,125
120.000000,213
120.000000,190
120.000000,143
120.000000,136
120.000000,225
240.000000,481
240.000000,353
240.000000,460
240.000000,433
240.000000,320
240.000000,266
240.000000,397
240.000000,464
240.000000,476
240.000000,611
480.000000,968
480.000000,839
480.000000,493
480.000000,533
480.000000,552
480.000000,825
480.000000,708
480.000000,780
480.000000,588
480.000000,721
960.000000,1921
960.000000,1416
960.000000,1882
960.000000,1499
960.000000,1018
960.000000,1033
960.000000,1227
960.000000,1647
960.000000,1210
960.000000,1305
1920.000000,5760
1920.000000,2526
1920.000000,3522
1920.000000,2995
1920.000000,2150
1920.000000,2248
1920.000000,3205
1920.000000,3400
1920.000000,2124
1920.000000,3167
3840.000000,11528
3840.000000,4007
3840.000000,5412
3840.000000,5163
3840.000000,4382
3840.000000,5993
3840.000000,4131
3840.000000,6149
3840.000000,4552
3840.000000,5045
